Date:  23:26, ÐÇÆÚÈÕ, °ËÔÂ 30, 2020
Model name:Boeing 747-simple_thermal
Study name:Thermal 1(-Default-)
Plot type: Thermal Thermal1
Time step: 1
Result Type: Temp 


Node  ,Value (Celsius)  ,X (mm)  ,Y (mm)  ,Z (mm)
1  ,43.636      ,110.68  ,-37.917  ,1.0734E-14
2  ,39.988      ,96.033  ,-35.746  ,-5.0415E-15
3  ,36.912      ,81.462  ,-33.075  ,-1.1689E-15
4  ,34.473      ,66.832  ,-30.772  ,1.0408E-14
5  ,32.801      ,52.393  ,-27.821  ,-2.1015E-13
6  ,32.855      ,52.393  ,-23.907  ,-15.049
7  ,32.354      ,52.393  ,-13.561  ,-26.83
8  ,30.000      ,52.393  ,-7.4391E-15  ,-31.617
9  ,30.000      ,57.03  ,2.7241E-15  ,-33.307
10  ,34.490      ,64.484  ,-14.645  ,-33.307
11  ,36.809      ,77.995  ,-23.941  ,-33.307
12  ,39.781      ,94.229  ,-27.478  ,-33.307
13  ,43.682      ,110.68  ,-29.513  ,-33.307
14  ,43.845      ,110.68  ,-36.391  ,-17.318
15  ,34.593      ,64.494  ,-23.529  ,-23.887
16  ,37.158      ,80.517  ,-30.896  ,-19.562
17  ,40.179      ,95.541  ,-33.404  ,-20.488
18  ,111.755     ,863.14  ,-5.6463  ,-23.933
19  ,111.709     ,864.48  ,-5.4098  ,-23.413
20  ,111.732     ,865.14  ,-4.9689  ,-21.737
21  ,112.078     ,865.58  ,-6.6883  ,-21.796
22  ,112.977     ,865.58  ,-14.934  ,-24.144
23  ,112.043     ,862.99  ,5.0627  ,-19.561
24  ,111.944     ,864.55  ,5.0799  ,-20.219
25  ,111.801     ,865.27  ,5.4781  ,-21.754
26  ,112.287     ,865.58  ,6.6885  ,-21.782
27  ,113.801     ,865.58  ,14.934  ,-20.011
28  ,89.978      ,691.71  ,0.0081694  ,-41.21
29  ,101.318     ,701.2  ,0.0078678  ,-47.858
30  ,107.815     ,710.68  ,0.0075663  ,-54.506
31  ,100.700     ,710.68  ,-6.0871  ,-40.192
32  ,94.506      ,700.59  ,-4.3197  ,-40.701
33  ,89.529      ,254.65  ,42.075  ,6.7208E-15
34  ,89.009      ,251.93  ,40.504  ,9.8559
35  ,91.917      ,260.68  ,49.485  ,9.5928
36  ,91.684      ,260.68  ,48.375  ,0.22469
37  ,90.662      ,260.68  ,41.978  ,-6.7373
38  ,112.970     ,867.54  ,-14.514  ,-22.063
39  ,113.816     ,871.62  ,-30.805  ,-22.62
40  ,114.160     ,875.7  ,-47.096  ,-23.177
41  ,114.310     ,879.78  ,-63.388  ,-23.734
42  ,114.378     ,883.87  ,-79.679  ,-24.29
43  ,114.407     ,887.95  ,-95.97  ,-24.847
44  ,114.421     ,892.03  ,-112.26  ,-25.404
45  ,114.427     ,896.12  ,-128.55  ,-25.961
46  ,114.427     ,900.24  ,-145  ,-26.523
47  ,114.421     ,891.14  ,-112.48  ,-26.364
48  ,114.408     ,886.88  ,-96.225  ,-25.994
49  ,114.378     ,882.62  ,-79.967  ,-25.624
50  ,114.311     ,878.36  ,-63.709  ,-25.254
51  ,114.161     ,874.1  ,-47.45  ,-24.884
52  ,113.818     ,869.84  ,-31.192  ,-24.514
53  ,114.123     ,874.53  ,-44.451  ,-24.309
54  ,113.760     ,870.6  ,-28.962  ,-23.904
55  ,112.883     ,866.84  ,-13.46  ,-23.292
56  ,113.810     ,867.54  ,14.514  ,-22.063
57  ,115.526     ,871.62  ,30.805  ,-22.62
58  ,116.392     ,875.7  ,47.096  ,-23.177
59  ,116.835     ,879.78  ,63.388  ,-23.734
60  ,117.055     ,883.87  ,79.679  ,-24.29
61  ,117.160     ,887.95  ,95.97  ,-24.847
62  ,117.206     ,892.03  ,112.26  ,-25.404
63  ,117.227     ,896.12  ,128.55  ,-25.961
64  ,117.225     ,900.24  ,145  ,-26.523
65  ,117.205     ,891.14  ,112.48  ,-24.459
66  ,117.160     ,886.88  ,96.225  ,-23.717
67  ,117.056     ,882.62  ,79.967  ,-22.976
68  ,116.832     ,878.36  ,63.709  ,-22.235
69  ,116.390     ,874.1  ,47.45  ,-21.494
70  ,115.520     ,869.84  ,31.192  ,-20.752
71  ,116.285     ,874.53  ,44.444  ,-21.864
72  ,115.379     ,870.6  ,28.952  ,-21.209
73  ,113.636     ,866.84  ,13.442  ,-20.763
74  ,70.000      ,865.58  ,3.2545  ,-151
75  ,70.000      ,865.58  ,4.3817  ,-135.64
76  ,70.000      ,865.58  ,4.819  ,-120.25
77  ,70.000      ,865.58  ,4.8045  ,-104.85
78  ,70.000      ,865.58  ,4.3586  ,-89.458
79  ,70.000      ,865.58  ,3.3322  ,-74.092
80  ,70.000      ,865.58  ,-3.2863E-13  ,-59.337
81  ,70.000      ,872.71  ,-2.9668E-13  ,-74.614
82  ,70.000      ,879.85  ,-2.6472E-13  ,-89.891
83  ,70.000      ,886.99  ,-2.3277E-13  ,-105.17
84  ,70.000      ,894.13  ,-2.0081E-13  ,-120.45
85  ,70.000      ,901.26  ,-1.6886E-13  ,-135.72
86  ,70.000      ,908.4  ,1.0181E-14  ,-151
87  ,70.000      ,901.9  ,2.2379  ,-151
88  ,70.000      ,885.21  ,3.5059  ,-151
89  ,70.000      ,882.77  ,2.3141  ,-104.89
90  ,70.000      ,888.23  ,2.4218  ,-118.8
91  ,70.000      ,893.48  ,2.4727  ,-132.44
92  ,70.000      ,877.36  ,2.0789  ,-90.814
93  ,70.000      ,871.98  ,1.6545  ,-76.605
94  ,120.000     ,260.68  ,-35.61  ,22.627
95  ,102.809     ,253.66  ,-37.741  ,18.037
96  ,101.698     ,252  ,-40.578  ,9.8192
97  ,120.000     ,260.68  ,-49.492  ,9.5585
98  ,120.000     ,260.68  ,-44.57  ,18.183
99  ,110.500     ,865.58  ,5.7917  ,-33.307
100  ,110.602     ,875.01  ,4.8887  ,-33.307
101  ,110.598     ,883.62  ,1.0302  ,-33.403
102  ,110.555     ,885  ,0.23461  ,-36.379
103  ,110.419     ,877.12  ,3.6216  ,-38.725
104  ,109.669     ,865.58  ,3.9739  ,-41.381
105  ,109.342     ,865.58  ,1.3336E-14  ,-46.142
106  ,110.307     ,876.96  ,4.6248E-15  ,-44.821
107  ,110.592     ,884.17  ,3.6233E-14  ,-33.307
108  ,110.503     ,868.16  ,-5.6489  ,-33.307
109  ,110.486     ,878.03  ,-3.6834  ,-36.982
110  ,111.536     ,865.58  ,5.6874  ,-23.966
111  ,111.031     ,876.28  ,3.6003  ,-23.411
112  ,30.000      ,610.68  ,390.88  ,-4.9748
113  ,30.000      ,605.57  ,390.88  ,-5.5632
114  ,30.006      ,613.62  ,401  ,-5.2398
115  ,30.011      ,625.89  ,401  ,-3.8174
116  ,30.011      ,638.15  ,401  ,-2.395
117  ,30.011      ,631.98  ,391.96  ,-2.5761
118  ,30.010      ,631.24  ,390.88  ,-2.5988
119  ,30.015      ,620.96  ,390.88  ,-3.7873
120  ,70.000      ,404.78  ,150.88  ,-8.1715
121  ,70.000      ,391.64  ,150.88  ,-9.6988
122  ,70.000      ,378.51  ,150.88  ,-11.218
123  ,70.000      ,388.18  ,160.89  ,-11.693
124  ,70.000      ,397.75  ,170.89  ,-12.085
125  ,70.000      ,407.21  ,180.89  ,-12.389
126  ,70.000      ,417.25  ,190.88  ,-12.53
127  ,70.000      ,430.64  ,190.88  ,-10.975
128  ,70.000      ,444.02  ,190.88  ,-9.4275
129  ,70.000      ,432.9  ,177.54  ,-8.9509
130  ,70.000      ,421.79  ,164.21  ,-8.3041
131  ,70.000      ,410.68  ,150.88  ,-7.4856
132  ,70.000      ,412.58  ,170.91  ,-10.366
133  ,70.000      ,421.87  ,181.37  ,-10.75
134  ,70.000      ,403.24  ,160.45  ,-9.8792
135  ,69.423      ,426.5  ,200.88  ,-12.677
136  ,68.530      ,435.65  ,210.88  ,-12.752
137  ,67.357      ,444.72  ,220.88  ,-12.758
138  ,65.958      ,453.72  ,230.88  ,-12.7
139  ,65.886      ,454.71  ,230.88  ,-12.585
140  ,65.050      ,466.03  ,230.88  ,-11.274
141  ,64.199      ,477.35  ,230.88  ,-9.965
142  ,66.300      ,466.24  ,217.54  ,-9.9215
143  ,68.122      ,455.13  ,204.21  ,-9.7467
144  ,69.092      ,439.11  ,200.51  ,-11.167
145  ,64.283      ,463.6  ,240.88  ,-12.474
146  ,62.495      ,472.42  ,250.88  ,-12.31
147  ,60.517      ,481.19  ,260.88  ,-12.096
148  ,58.350      ,489.91  ,270.88  ,-11.838
149  ,58.213      ,491.12  ,270.88  ,-11.7
150  ,57.106      ,500.9  ,270.88  ,-10.569
151  ,55.992      ,510.68  ,270.88  ,-9.4374
152  ,59.068      ,499.57  ,257.55  ,-9.7098
153  ,61.794      ,488.46  ,244.22  ,-9.8901
154  ,54.983      ,502.6  ,284.2  ,-11.305
155  ,51.343      ,514.03  ,297.54  ,-10.85
156  ,47.236      ,525.41  ,310.88  ,-10.348
157  ,47.023      ,526.74  ,310.88  ,-10.198
158  ,44.255      ,544.02  ,310.88  ,-8.1975
159  ,48.635      ,532.91  ,297.55  ,-8.6682
160  ,52.531      ,521.8  ,284.21  ,-9.0858
161  ,42.343      ,537.99  ,324.2  ,-9.6699
162  ,36.739      ,549.24  ,337.53  ,-9.1167
163  ,30.000      ,560.48  ,350.88  ,-8.5496
164  ,30.000      ,561.85  ,350.88  ,-8.3919
165  ,30.000      ,577.35  ,350.88  ,-6.5955
166  ,34.177      ,566.24  ,337.55  ,-7.1484
167  ,39.348      ,555.13  ,324.21  ,-7.6866
168  ,30.000      ,572.99  ,364.2  ,-7.8327
169  ,30.000      ,584.16  ,377.53  ,-7.2819
170  ,30.000      ,595.37  ,390.88  ,-6.751
171  ,30.000      ,599.57  ,377.55  ,-5.4961
172  ,30.000      ,588.46  ,364.21  ,-6.0405
173  ,114.513     ,820.58  ,-91.704  ,-23.511
174  ,114.509     ,820.58  ,-93.492  ,-24.238
175  ,114.507     ,820.58  ,-94.122  ,-26.03
176  ,114.478     ,828.19  ,-102.5  ,-26.213
177  ,114.457     ,835.8  ,-110.88  ,-26.397
178  ,114.457     ,836.22  ,-110.88  ,-24.973
179  ,114.478     ,829.34  ,-101.58  ,-23.962
180  ,114.507     ,821.84  ,-93.121  ,-23.576
181  ,114.509     ,820.58  ,-93.065  ,-27.489
182  ,114.514     ,820.58  ,-90.991  ,-27.794
183  ,114.509     ,821.61  ,-92.158  ,-27.799
184  ,114.477     ,829.86  ,-101.52  ,-27.841
185  ,114.455     ,838.1  ,-110.88  ,-27.883
186  ,114.457     ,836.32  ,-110.88  ,-27.41
187  ,114.524     ,820.58  ,-86.597  ,-27.66
188  ,114.535     ,820.58  ,-81.63  ,-27.508
189  ,114.522     ,823.01  ,-84.634  ,-27.528
190  ,114.475     ,833.62  ,-97.757  ,-27.615
191  ,114.448     ,844.23  ,-110.88  ,-27.702
192  ,114.452     ,840.42  ,-110.88  ,-27.814
193  ,114.563     ,820.59  ,-70.88  ,-27.18
194  ,114.526     ,829.93  ,-70.88  ,-26.904
195  ,114.475     ,838.79  ,-84.214  ,-27.049
196  ,114.448     ,847.64  ,-97.547  ,-27.194
197  ,114.436     ,856.5  ,-110.88  ,-27.339
198  ,114.443     ,848.87  ,-110.88  ,-27.565
199  ,120.000     ,281.8  ,-70.88  ,5.8964
200  ,120.000     ,284.31  ,-70.88  ,-2.3688
201  ,117.295     ,293.08  ,-79.55  ,-2.6713
202  ,114.824     ,301.87  ,-88.166  ,-3.0709
203  ,112.632     ,310.68  ,-96.735  ,-3.5507
204  ,112.551     ,310.68  ,-97.512  ,-2.2879
205  ,112.534     ,310.68  ,-97.332  ,9.7032
206  ,113.365     ,310.68  ,-87.859  ,17.243
207  ,115.342     ,302.38  ,-79.393  ,18.38
208  ,120.000     ,294.12  ,-70.88  ,19.443
209  ,120.000     ,285.42  ,-70.88  ,14.98
210  ,114.683     ,300.58  ,-89.046  ,6.1048
211  ,114.455     ,837.12  ,-111.77  ,-27.419
212  ,114.440     ,846.11  ,-121.74  ,-27.519
213  ,114.433     ,855.1  ,-131.72  ,-27.62
214  ,114.430     ,864.1  ,-141.7  ,-27.72
215  ,114.429     ,865.58  ,-143.33  ,-27.736
216  ,114.433     ,856.25  ,-131.93  ,-25.345
217  ,114.440     ,846.92  ,-121.4  ,-24.865
218  ,114.453     ,837.78  ,-113.03  ,-25.799
219  ,114.436     ,850.88  ,-127.39  ,-26.006
220  ,114.447     ,840.78  ,-116.39  ,-26.286
221  ,114.447     ,841.25  ,-116.36  ,-25.1
222  ,114.449     ,842.02  ,-112.76  ,-27.824
223  ,114.438     ,849.87  ,-121.96  ,-27.873
224  ,114.432     ,857.73  ,-131.16  ,-27.922
225  ,114.430     ,865.58  ,-140.36  ,-27.97
226  ,114.434     ,857.22  ,-121.96  ,-27.656
227  ,114.430     ,865.58  ,-133.04  ,-27.747
228  ,109.685     ,333.58  ,-110.88  ,13.884
229  ,110.124     ,326.74  ,-110.88  ,10.628
230  ,110.349     ,323.32  ,-110.88  ,3.8595
231  ,108.910     ,335.86  ,-122.87  ,2.557
232  ,107.727     ,348.33  ,-134.79  ,1.253
233  ,106.482     ,360.68  ,-146.68  ,-0.0042284
