Date:  17:02, ÐÇÆÚ¶þ, ¾ÅÔÂ 22, 2020
Model name:u_cylinder_shell
Study name:Thermal 1(-Default-)
Plot type: Thermal Thermal1
Time step: 1
Result Type: Temp 


Node  ,Value (Celsius)  ,X (m)  ,Y (m)  ,Z (m)
1  ,161.599     ,6.09999990  ,0.00000000  ,19.93975830
2  ,162.003     ,6.14801550  ,0.61009443  ,19.93975830
3  ,162.372     ,6.29087973  ,1.20516622  ,19.93975830
4  ,162.681     ,6.52507448  ,1.77056301  ,19.93975830
5  ,162.919     ,6.84483385  ,2.29236245  ,19.93975830
6  ,163.067     ,7.24228334  ,2.75771642  ,19.93975830
7  ,163.116     ,7.70763731  ,3.15516639  ,19.93975830
8  ,163.084     ,8.22943687  ,3.47492552  ,19.93975830
9  ,162.956     ,8.79483414  ,3.70912051  ,19.93975830
10  ,162.746     ,9.38990593  ,3.85198450  ,19.93975830
11  ,162.475     ,10.00000000  ,3.90000010  ,19.93975830
12  ,162.151     ,10.00000000  ,3.37797260  ,20.19085884
13  ,161.830     ,10.00000000  ,2.83988070  ,20.40538216
14  ,161.517     ,10.00000000  ,2.28828287  ,20.58231163
15  ,161.209     ,10.00000000  ,1.72580278  ,20.72080231
16  ,160.905     ,10.00000000  ,1.15511525  ,20.82019806
17  ,160.604     ,10.00000000  ,0.57893425  ,20.88002586
18  ,160.306     ,10.00000000  ,0.00000000  ,20.89999962
19  ,160.501     ,9.42106533  ,0.00000000  ,20.88002586
20  ,160.689     ,8.84488487  ,0.00000000  ,20.82019806
21  ,160.877     ,8.27419758  ,0.00000000  ,20.72080231
22  ,161.062     ,7.71171713  ,0.00000000  ,20.58231163
23  ,161.244     ,7.16011953  ,0.00000000  ,20.40538216
24  ,161.422     ,6.62202740  ,0.00000000  ,20.19085884
25  ,162.546     ,7.67408705  ,2.32591295  ,20.22918129
26  ,162.054     ,8.12094402  ,1.87905633  ,20.46858215
27  ,161.589     ,8.57996273  ,1.42003763  ,20.65640831
28  ,161.145     ,9.04817104  ,0.95182884  ,20.79144478
29  ,160.718     ,9.52254105  ,0.47745904  ,20.87281799
30  ,162.412     ,7.26961803  ,1.86894536  ,20.22088432
31  ,161.936     ,7.71213436  ,1.42892742  ,20.45511436
32  ,161.478     ,8.17323875  ,0.97298014  ,20.64102364
33  ,161.029     ,8.66060448  ,0.49930382  ,20.77748299
34  ,162.196     ,6.94878435  ,1.35709226  ,20.20768356
35  ,161.737     ,7.39892769  ,0.92465633  ,20.43343735
36  ,161.284     ,7.88559437  ,0.47254628  ,20.61578560
37  ,161.931     ,6.70598269  ,0.82001686  ,20.18355560
38  ,161.505     ,7.15658855  ,0.41786951  ,20.39306068
39  ,162.610     ,8.13105488  ,2.73038220  ,20.22088432
40  ,162.120     ,8.57107258  ,2.28786588  ,20.45511436
41  ,161.652     ,9.02701950  ,1.82676148  ,20.64102364
42  ,161.191     ,9.50069618  ,1.33939576  ,20.77748299
